devontown,agenew,count(borrower)
Exeter,39,85
Exeter,4,115
Exeter,40,75
Exeter,41,83
Exeter,42,88
Exeter,43,81
Exeter,44,73
Exeter,45,83
Exeter,46,78
Exeter,47,73
Exeter,48,62
Exeter,49,65
Exeter,5,113
Exeter,50,66
Exeter,51,52
Exeter,52,40
Exeter,53,48
Exeter,54,42
Exeter,55,60
Exeter,56,40
Exeter,57,41
Exeter,58,51
Exeter,59,41
Exeter,6,148
Exeter,60,48
Exeter,61,47
Exeter,62,50
Exeter,63,32
Exeter,64,63
Exeter,65,66
Exeter,66,74
Exeter,67,67
Exeter,68,75
Exeter,69,73
Exeter,7,118
Exeter,70,65
Exeter,71,55
Exeter,72,61
Exeter,73,50
Exeter,74,56
Exeter,75,33
Exeter,76,40
Exeter,77,35
Exeter,78,38
Exeter,79,29
Exeter,8,142
Exeter,80,26
Exeter,81,20
Exeter,82,22
Exeter,83,17
Exeter,84,13
Exeter,85,19
Exeter,86,18
Exeter,87,13
Exeter,88,11
Exeter,89,14
Exeter,9,140
Exeter,90,8
Exeter,91,8
Exeter,92,4
Exeter,93,2
Exeter,94,2
Exeter,96,2
Exeter,97,2
Exmouth,,2415
Exmouth,0,25
Exmouth,1,98
Exmouth,10,326
Exmouth,100,1
Exmouth,102,1
Exmouth,106,1
Exmouth,11,348
Exmouth,112,1
Exmouth,113,1
Exmouth,115,4
Exmouth,116,7
Exmouth,12,287
Exmouth,13,268
Exmouth,14,216
Exmouth,15,217
Exmouth,16,199
Exmouth,17,205
Exmouth,18,214
Exmouth,19,216
Exmouth,2,159
Exmouth,20,192
Exmouth,21,231
Exmouth,22,198
Exmouth,23,184
Exmouth,24,225
Exmouth,25,252
Exmouth,26,188
Exmouth,27,212
Exmouth,28,241
Exmouth,29,210
Exmouth,3,199
Exmouth,30,228
Exmouth,31,212
Exmouth,32,198
Exmouth,33,241
Exmouth,34,199
Exmouth,35,217
Exmouth,36,227
Exmouth,37,217
Exmouth,38,242
Exmouth,39,191
Exmouth,4,250
Exmouth,40,234
Exmouth,41,170
Exmouth,42,213
Exmouth,43,212
Exmouth,44,200
Exmouth,45,196
Exmouth,46,189
Exmouth,47,210
Exmouth,48,176
Exmouth,49,203
Exmouth,5,271
Exmouth,50,181
Exmouth,51,197
Exmouth,52,164
Exmouth,53,203
Exmouth,54,177
Exmouth,55,168
Exmouth,56,180
Exmouth,57,170
Exmouth,58,167
Exmouth,59,186
Exmouth,6,333
Exmouth,60,178
Exmouth,61,186
Exmouth,62,178
Exmouth,63,206
Exmouth,64,229
Exmouth,65,215
Exmouth,66,231
Exmouth,67,246
Exmouth,68,243
Exmouth,69,232
Exmouth,7,362
Exmouth,70,202
Exmouth,71,194
Exmouth,72,216
Exmouth,73,150
Exmouth,74,163
Exmouth,75,108
Exmouth,76,137
Exmouth,77,111
Exmouth,78,110
